id,degree,community,component
Doris 68,0,91,54
Cardi B,79,18,1
Badoxa,6,76,1
Sa4,29,2,1
POL1Z1STENS0HN a.k.a. Jan Böhmermann,1,92,55
Circle 9,0,93,56
Dubbo,8,94,1
Isaiah Firebrace,11,43,1
Common,100,18,1
Dragana Kosic,0,95,57
YONII,32,2,1
"Car, the garden",16,34,1
Rancore,15,4,1
HammAli,3,6,1
Krozz,3,77,1
Kim Chiu,2,23,1
Tur-G,31,22,1
Boulevard des Airs,19,43,1
KsFreakWhatElse,2,96,58
Cheat Codes,163,18,1
Tornike Kipiani,0,97,59
Sebastian Ingrosso,50,18,1
Berg,32,60,1
CL,11,34,1
Alain Clark,17,22,1
Gio,18,17,1
Klikkmonopolet,10,1,1
Nanpa Básico,51,7,1
Kush Lmes,0,98,60
Vicky Singh,0,99,61
Mammút,0,100,62
Maria Gadú,42,25,1
Lil Baby,149,18,1
Miniminter,4,101,63
Marco Carta,1,18,1
Greifarnir,1,102,64
Lin Hsin Yi,0,103,65
Della,14,20,1
Nahaze,6,4,1
Camila Cabello,42,18,1
Shaggy,226,33,1
Los Flamers,16,104,1
The Cinematic Orchestra,36,82,1
Italian Somali,49,7,1
KEVVO,85,7,1
flowerboii,3,2,1
Dante Spinetta,6,7,1
Yamkee Productions,0,105,66
Katie Melua,18,18,1
ACTART,2,24,1
Canking,1,106,67
Dev Negi,52,70,1
Pascal Letoublon,11,4,1
Prinssi Jusuf,12,37,1
Deepend,88,18,1
Ex Rated Lover,2,107,68
Diego & Victor Hugo,39,25,1
Vallis Alps,2,18,1
Likybo,13,108,1
Catfish and the Bottlemen,0,109,69
Rocco Hunt,53,4,1
ADDA,19,5,1
Amanda Seyfried,0,110,70
Enes Batur,1,111,71
Brianna,13,5,1
Gökhan Özen,4,21,1
Kizo,82,11,1
Laura,5,5,1
Shamma Hamdan,8,27,1
ARY,1,2,1
Huang Yali,2,20,1
Wanton chulito,9,7,1
Croupie,3,6,1
MILES,4,4,1
HLH flokkurinn og Sigga Beinteins,0,112,72
Neffa,49,4,1
Mario,3,39,1
Diljit Dosanjh,0,113,73
Reda Rwena,22,2,1
Phuong Linh,2,52,1
Marisela,4,114,1
Empress In Road,0,115,74
Piateed,2,1,1
Whales,72,12,1
Milan Stankovic,5,116,1
Spiff TV,6,7,1
Julie Maria,11,17,1
Nirvair Pannu,3,70,1
Raj Ranjodh,22,70,1
Only C,14,52,1
Kalash,67,43,1
La Joaqui,23,7,1
Nathaniel,14,1,1
Cœur De Pirate,13,18,1
Frank Friendly,1,1,1
Circus Mircus,0,117,75
Kraftklub,8,2,1
Gajendra Verma,22,70,1
Bizzey,137,22,1
Oldzzies,0,118,76
Sophie Chen,7,20,1
Carlos Rivera,63,7,1
Michael Ray,5,33,1
Zookeepers,21,17,1
Youngn Lipz,14,3,1
Csaknekedkislány,0,119,77
Enero,5,7,1
Paky,19,4,1
Sirius,1,43,1
Marvel B,0,120,78
yccc,0,121,79
Sonora Palacios,17,7,1
The Struts,7,18,1
Amatria,5,7,1
Rotjoch,39,22,1
Niklas Strömstedt,7,1,1
Squeezie,12,43,1
Chdry Saqib,0,122,80
Matías Valdez,5,7,1
SAYGRACE,16,18,1
Talal Sam,1,123,81
Bonde R300,22,25,1
Dengaz,25,124,1
Ezad Lazim,11,23,1
Karetus,41,124,1
Wheatus,5,125,1
Grend Kid,0,126,82
Tegi Pannu,4,70,1
Gypso Ariigantha,0,127,83
Gen Hoshino,5,18,1
Cap Gold,2,2,1
Janice Mangion,2,128,84
The Roots,96,18,1
Mocedades,29,7,1
Young Stoner Life,66,18,1
Asala Maleh,2,129,85
Yo Dawg Z,0,130,86
lovelytheband,12,18,1
Khrystyna Soloviy,4,6,1
Nks,25,131,1
ALLMO$T,33,23,1
ZINNIA,0,132,87
Ung Hoang Phuc,20,52,1
Strat,19,46,1
Manu Gavassi,9,25,1
